sno,townName,category,state,district
4034,Rania,M.C,Haryana,Sirsa
4035,Ranibennur,C.M.C,Karnataka,Haveri
4036,Raniganj,M,West Bengal,Barddhaman 
4037,Ranikhet,C.B,Uttaranchal,Almora
4038,Ranip,M,Gujarat,Ahmadabad
4039,Ranipettai,M,Tamil Nadu,Vellore
4040,Ranipur,N.P,Uttar Pradesh,Jhansi
4041,Ranirbazar,N.P,Tripura,West Tripura 
4042,Ranoli,C.T,Gujarat,Vadodara
4043,Rapar,M,Gujarat,Kachchh
4044,Rashidpur Garhi,C.T,Uttar Pradesh,Bijnor
4045,Rasipuram,T.P,Tamil Nadu,Namakkal
4046,Rasra,M.B,Uttar Pradesh,Ballia
4047,Rasulabad,N.P,Uttar Pradesh,Unnao
4048,Ratangarh,M,Rajasthan,Churu
4049,Ratangarh,N.P,Madhya Pradesh,Neemuch
4050,Ratannagar,M,Rajasthan,Churu
4051,Ratanpur,N.P,Chhattisgarh,Bilaspur
4052,Rath,M.B,Uttar Pradesh,Hamirpur
4053,Ratia,M.C,Haryana,Fatehabad
4054,Ratibati,C.T,West Bengal,Barddhaman 
4055,Ratlam,M.Corp,Madhya Pradesh,Ratlam
4056,Ratlam Rly. Colony (Ratlam Kasba),C.T,Madhya Pradesh,Ratlam
4057,Ratnagiri,M.Cl,Maharashtra,Ratnagiri
4058,Rau,N.P,Madhya Pradesh,Indore
4059,Raurkela,M,Orissa,Sundargarh
4060,Raurkela Industrialship,ITS,Orissa,Sundargarh
4061,Raver,M.Cl,Maharashtra,Jalgaon
4062,Rawalsar,N.P,Himachal Pradesh,Mandi
4063,Rawatbhata,M,Rajasthan,Chittaurgarh
4064,Rawatsar,M,Rajasthan,Hanumangarh
4065,Raxaul Bazar,M,Bihar,Purba Champaran
4066,Raya,N.P,Uttar Pradesh,Mathura
4067,Rayachoti,C.T,Andhra Pradesh,Cuddapah
4068,Rayadurg,M,Andhra Pradesh,Anantapur
4069,Rayagada,M,Orissa,Rayagada
4070,Rayagiri,T.P,Tamil Nadu,Tirunelveli
4071,Raybag,T.P,Karnataka,Belgaum
4072,Rayya,N.P,Punjab,Amritsar
4073,Reasi,N.AC,Jammu & Kashmir,Udhampur
4074,Redhakhol,N.AC,Orissa,Sambalpur
4075,Reengus,M,Rajasthan,Sikar
4076,Reethapuram,T.P,Tamil Nadu,Kanniyakumari
4077,Rehambal,C.T,Jammu & Kashmir,Udhampur
4078,Rehli,M,Madhya Pradesh,Sagar
4079,Rehti,N.P,Madhya Pradesh,Sehore
4080,Reis Magos,C.T,Goa,North Goa 
4081,Religara alias Pachhiari,C.T,Jharkhand,Hazaribag
4082,Remuna,N.AC,Orissa,Baleshwar
4083,Rengali Dam Projectship,C.T,Orissa,Anugul
4084,Renigunta,C.T,Andhra Pradesh,Chittoor
4085,Renukoot,N.P,Uttar Pradesh,Sonbhadra
4086,Reoti,N.P,Uttar Pradesh,Ballia
4087,Repalle,M,Andhra Pradesh,Guntur
4088,Resubelpara,M.B,Meghalaya,East Garo Hills
4089,Revelganj,M,Bihar,Saran
4090,Rewa,M.Corp.,Madhya Pradesh,Rewa
4091,Rewari,M.Cl,Haryana,Rewari
4092,Rewari (Rural),C.T,Haryana,Rewari
4093,Richha,N.P,Uttar Pradesh,Bareilly
4094,Rikhabdeo,C.T,Rajasthan,Udaipur
4095,Rishikesh,M.B,Uttaranchal,Dehradun
4096,Rishra,M,West Bengal,Hugli 
4097,Rishra,C.T,West Bengal,Hugli 
4098,Risia Bazar,N.P,Uttar Pradesh,Bahraich
4099,Risod,M.Cl,Maharashtra,Washim
4100,Rithora,N.P,Uttar Pradesh,Bareilly
4101,Rly. Settlement Roza,N.P,Uttar Pradesh,Shahjahanpur
4102,Robertsganj,M.B,Uttar Pradesh,Sonbhadra
4103,Robertson Pet,C.M.C,Karnataka,Kolar
4104,Roha Ashtami,M.Cl,Maharashtra,Raigarh
4105,Rohraband,C.T,Jharkhand,Dhanbad
4106,Rohru,N.P,Himachal Pradesh,Shimla
4107,Rohtak,M.Cl,Haryana,Rohtak
4108,Roing,C.T,Arunachal Pradesh,Dibang Valley
4109,Ron,T.P,Karnataka,Gadag
4110,Roorkee,M.B,Uttaranchal,Hardwar
4111,Roorkee,C.B,Uttaranchal,Hardwar
4112,Rosalpatti,T.P,Tamil Nadu,Virudhunagar
4113,Rosera,M,Bihar,Samastipur
4114,Roshan Pura alias Dichaon Khurd,C.T,Delhi *,South West
4115,Rudauli,M.B,Uttar Pradesh,Faizabad
4116,Rudayan,N.P,Uttar Pradesh,Budaun
4117,Rudra Prayag,N.P,Uttaranchal,Rudraprayag
4118,Rudrapur,M.B,Uttaranchal,Udham Singh Nagar
4119,Rudrapur,N.P,Uttar Pradesh,Deoria
4120,Rudravathi,T.P,Tamil Nadu,Erode
4121,Ruiya,C.T,West Bengal,North Twentyfour Parganas
4122,Runji Gautampura,N.P,Madhya Pradesh,Indore
4123,Rupnagar,M.Cl,Punjab,Rupnagar
4124,Rura,N.P,Uttar Pradesh,Kanpur Dehat
4125,Rurki Kasba,C.T,Punjab,Patiala
4126,Rustamnagar Sahaspur,C.T,Uttar Pradesh,Moradabad
4127,S. Kannanur,T.P,Tamil Nadu,Tiruchirappalli
4128,S.A.S. Nagar (Mohali),M.Cl,Punjab,Rupnagar
4129,S.Kodikulam,T.P,Tamil Nadu,Virudhunagar
4130,S.Nallur,T.P,Tamil Nadu,Coimbatore
4131,S.T. Power Project Town,C.T,West Bengal,Puruliya
4132,Sabalgarh,M,Madhya Pradesh,Morena
4133,Sabathu,C.B,Himachal Pradesh,Solan
4134,Sabroom,N.P,Tripura,South Tripura 
4135,Sachin,C.T,Gujarat,Surat
4136,Sachin INA,I.N.A,Gujarat,Surat
4137,Sadabad,N.P,Uttar Pradesh,Hathras
4138,Sadalgi,T.P,Karnataka,Belgaum
4139,Sadasivpet,M,Andhra Pradesh,Medak
4140,Sadat,N.P,Uttar Pradesh,Ghazipur
4141,Sadat Pur Gujran,C.T,Delhi *,North East
4142,Sadaura,M.C,Haryana,Yamunanagar
4143,Sadpur,C.T,West Bengal,North Twentyfour Parganas
4144,Sadri,M,Rajasthan,Pali
4145,Sadulshahar,M,Rajasthan,Ganganagar
4146,Safidon,M.C,Haryana,Jind
4147,Safipur,N.P,Uttar Pradesh,Unnao
4148,Sagar,M.Corp,Madhya Pradesh,Sagar
4149,Sagar,T.M.C,Karnataka,Shimoga
4150,Sagar Cantt.,C.B,Madhya Pradesh,Sagar
4151,Sagwara,M,Rajasthan,Dungarpur
4152,Sahajadpur,C.T,West Bengal,Murshidabad 
4153,Sahanpur,N.P,Uttar Pradesh,Bijnor
4154,Sahapur,C.T,West Bengal,Haora 
4155,Saharanpur,M.B,Uttar Pradesh,Saharanpur
4156,Saharsa,M,Bihar,Saharsa
4157,Sahaspur,N.P,Uttar Pradesh,Bijnor
4158,Sahaswan,M.B,Uttar Pradesh,Budaun
4159,Sahatwar,N.P,Uttar Pradesh,Ballia
4160,Sahawar,N.P,Uttar Pradesh,Etah
4161,Sahibabad Daulat Pur,C.T,Delhi *,North West
4162,Sahibganj,M,Jharkhand,Sahibganj
4163,Sahjanwa,N.P,Uttar Pradesh,Gorakhpur
4164,Sahnewal,N.P,Punjab,Ludhiana
4165,Sahnidih,C.T,Jharkhand,Dhanbad
4166,Sahpau NP,N.P,Uttar Pradesh,Hathras
4167,Saidpur,N.P,Uttar Pradesh,Budaun
4168,Saidpur,N.P,Uttar Pradesh,Ghazipur
4169,Saidul Ajaib,C.T,Delhi *,South
4170,Saiha,C.T,Mizoram,Saiha
4171,Sailana,N.P,Madhya Pradesh,Ratlam
4172,Sailu,M.Cl,Maharashtra,Parbhani
4173,Sainthal,N.P,Uttar Pradesh,Bareilly
4174,Sainthia,M,West Bengal,Birbhum
4175,Sairang,C.T,Mizoram,Aizawl
4176,Saitual,C.T,Mizoram,Aizawl
4177,Saiyad Raja,N.P,Uttar Pradesh,Chandauli
4178,Sakhanu,N.P,Uttar Pradesh,Budaun
4179,Sakit,N.P,Uttar Pradesh,Etah
4180,Sakleshpur,T.M.C,Karnataka,Hassan
4181,Sakti,N.P,Chhattisgarh,Janjgir-Champa
4182,Salakati,C.T,Assam,Kokrajhar
4183,Salangapalayam,T.P,Tamil Nadu,Erode
4184,Salap,C.T,West Bengal,Haora 
4185,Salarpur Khadar,C.T,Uttar Pradesh,Gautam Buddha Nagar
